pid,page,language,transcription
obj01,1,en,No transcription available.
obj01,2,en,No transcription available.
obj01,3,en,No transcription available.
obj01,4,en,No transcription available.
obj01,5,en,No transcription available.
obj01,6,en,No transcription available.
obj01,7,en,No transcription available.
obj01,8,en,No transcription available.
obj01,1,es,No hay transcripción disponible.
obj01,2,es,No hay transcripción disponible.
obj01,3,es,No hay transcripción disponible.
obj01,4,es,No hay transcripción disponible.
obj01,5,es,No hay transcripción disponible.
obj01,6,es,No hay transcripción disponible.
obj01,7,es,No hay transcripción disponible.
obj01,8,es,No hay transcripción disponible.
obj01,1,qu,"CRONICAWAN



REVOLUSION RYMAYNIPA



LIMA LLAQTAPI KINSA P’unchay Inti Raymi Killa 1976



## ARI: QANWANMI KASAQ



LLAQTAYRAYKU



UNANCHAYRAKU



REVOLUSIONRAYKU"
obj01,2,qu,"# 2: Petrollo apaq



## Oleoducto nisqantan Sayarichishanchis



Qallarinapaq rimasunchis, imaynas chay petrollo chayta. Petrolluqu q’omer unu hinallan; chaymi k’anchayta qon, chaywanmi karrukunata purichinku, chaywanmi avionkunapas phalayta atinku. Mana pretrollo kaqtinqa, manan fabrikakuna llank’ayta atinkumanchu. Peru llaqtanchispin chay petrollo kashan; ichaqa kharupitaqmi kashan, kikin antisuyuq chawpinpin, Loreto llaqtapi, chay llaqtan amasonia sutiyuq. Chaymanta pachan, nishu sasa horqoynin. Ancha hatunmi kay Amasonia suyu, chaypin qhawaaykuypas chinkaririn; sasallataqmi chaypi tiyana; unu sapa panpapitaqmi sach’akuna mana rikuyta wiñan.



Chay sach’a ukhupin horqonanchispaq petrollo kashan, chaypaqmi oleoductura ruwakunan, petrollo apamunanpaq, chaytan ruwanqaku orquta tuquspa, mayunta ichispa, sach’a sach’anta apaspa.



Chay oleoductu nisqanchismi pusaq pachaq phisqa chunkan iskayniyuq kilometrupi mastarinkunqa; qallarinqa San Jose de Saramuru llaqtapi, kikin antisuyuq chawpipi Bayovar llaqtakama, kay llaqtan hatun mama quchapi. Kay oleoductun tukukunqa Hawk’a k’uski killapi (Julio) waranqa esqon pachaq qanchis chunka soqtayuq watapi.



Kay oleoductun puririnqa Marañon mayuwan kuskachasqa chanmantan orquntakama wichamunqa, apopanpanta chayamunankama, chaymantataq Bayovar llaqtaman chayaykunqa. Imapaqtaq ruwakushan, kay sasa oleoducto llank’anari. Petrollo orqunanchispaqmi phabrikanchis llank’ananpaq, karunchis puririnanpaq, tracturkuna hallpanchista yapunanpaq. Paqarin aswan allin kawsananchispaq. Mayqen llaqtan petrolloyuq; chay llaqtan qhapaq llaqta. Peru llaqtanchis qhapaq kananpaqmi kunan llank’ashanchis.



Kay oleoductu ruwakunanpaqmi tubukuna ancha hatun; sapanka tubukunan hatun karu hina llasan. Chay tubo ukupin runa puriyta atinman, chay t’uqukunaqkuskantan Peru llaqtanchispi phabrikashanchis, kuskantataq apamushanchis hawa llaqtakunamanta.



Kay oleoducto ruwanapaqqa, ñawpaqtaqa sach’akunata wit’una, ñanta kicharispa, chaymantaqmi wayq’ota kicharina, orqo ukhupi, sach’a ukhupi ima, chay hawanmanmi tubukunata p’anpana sapankanta k’askachispa.



Imaynatataq petrollo, chay tuboq ukhuntakama siqanqa; unumanta aswan thaka kashaqtin. Motorwan tanqasqan siqanqa. Manan haky’aqpas ajna hatun ruwayta qhespichirankuchu kay Peru llaqtanchispi. Kay llank’anapin llank’ashanku iskay chunka waranqa llank’aqkuna. Paykunan kashanku ñan kichaqkuna, tejnikukuna, ingenierukuna ima. Kay ruwariymi, chunka phisqayuq waranwa hunu soles kanqa.



Ichaqa manan llank’ayallachu sasa, revolusionpa awqankunan llullakuspa nishanku, man munakuchu chay petrolluwan llapallanchis qhapaqyananchista. Mana hina kaqtianqa, wajchallacha tiyasunman.



**Paykunan** munashamku, lliw petrollunchis p’aqo runakunaq makinman kutirinanta. Ichaqa, Velasco Alvarado wamink’a nin: “Ama ninawan puyllaychischu, nispa, sanp’a sunqullan. Ashayku, ichaqa kontrarevolusionario sayarinkichis chayqa kay revolusion thunichiyta munaspa, chaypin ichaqa, ñoqayku t’ustusaykiku. Revolusionqa kallpachakunqan qankunata saruykuqtin ama hay k’aq hatarinaykihispaq.



Soldaduwan kuska runakuna purishayku, chay puriypin revolusionpa kallpan hatunchakun. Mana p’aqu runakuna hayk’aqpas kutimunqakuchu. Sayarichishaykun hatun llaqtata, mususqa Peru llaqtatan qhespichishayku aswan allin tiyananshispaq.



Left: Kay tubo ukhuntan Petrollo chayamunqa



Petrolluwanmi Qhapaq Tukusun



Kay karru fierro tubukunata apashan oleoducto niskapaq, chayninta petrollunchis phawarinqa. Iquitus llaqtamanmi chayamun, llaqtanchis sayaricheq Petrollo tubukuna.



Cronicawan: Llapan runa simipi qelqaq, runakunatan mink’akuyku, qelqasqankunata chayachimuwanankupaq. Llapallan llank’aq runakunatan, wajyakuyku Cronicamanta pacha kawsaynin willakunankupaq.



Andawaylas K’ijllumammi 1472 yupayman apachimunaykichis."
